Wavelength,Transmission
10620.0,0.0
10660.0,0.0004
10700.0,0.0015
10750.0,0.0027000001
10780.0,0.0055
10820.0,0.0122999996
10840.0,0.0203000009
10870.0,0.0306000002
10890.0,0.0405000001
10930.0,0.0515000001
10960.0,0.056400001
11020.0,0.071800001
11050.0,0.2736000121
11070.0,0.3409999907
11090.0,0.3583999872
11120.0,0.3801000118
11160.0,0.3307000101
11170.0,0.2395000011
11200.0,0.2500999868
11230.0,0.2833000124
11280.0,0.2581999898
11290.0,0.2515000105
11320.0,0.5381000042
11340.0,0.2231999934
11380.0,0.5368999839
11400.0,0.1102000028
11430.0,0.5292000175
11470.0,0.2619000077
11540.0,0.3201999962
11590.0,0.1743000001
11640.0,0.6069999933
11670.0,0.6179000139
11700.0,0.6762999892
11730.0,0.7279000282
11750.0,0.7465000153
11790.0,0.8303999901
11820.0,0.7903000116
11860.0,0.8095999956
11880.0,0.8368999958
11920.0,0.8360000253
11950.0,0.7498999834
11990.0,0.7080000043
12020.0,0.6988000274
12090.0,0.7049000263
12160.0,0.7003999949
12210.0,0.7328000069
12270.0,0.7056999803
12310.0,0.8424000144
12360.0,0.9218999743
12400.0,0.9524999857
12440.0,0.967599988
12470.0,0.9595000148
12530.0,0.9226999879
12550.0,0.8930000067
12580.0,0.8529000282
12600.0,0.8022999763
12650.0,0.7501000166
12700.0,0.6780999899
12750.0,0.6524000168
12790.0,0.638800025
12860.0,0.6424000263
12920.0,0.6485999823
12970.0,0.6823999882
13020.0,0.7529000044
13050.0,0.7759000063
13070.0,0.8118000031
13100.0,0.77700001
13130.0,0.7210000157
13160.0,0.9524999857
13190.0,0.8550999761
13230.0,0.8414000273
13260.0,1.0
13300.0,0.8946999907
13330.0,0.8549000025
13340.0,0.537899971
13360.0,0.2799000144
13390.0,0.9064999819
13430.0,0.6893000007
13460.0,0.5533000231
13490.0,0.2432000041
13530.0,0.0143999998
13550.0,0.0002
13600.0,0.0401000008
13630.0,0.0044999998
13700.0,0.0003
13730.0,0.0372000001
13770.0,0.0005
13830.0,0.0
13880.0,0.0001
13920.0,0.0033
13950.0,0.0003
13960.0,0.0085000005
13970.0,0.0253999997
13980.0,0.1184
14000.0,0.0001
14010.0,0.0001
14020.0,0.052099999
14040.0,0.0104
14060.0,0.0478000008
14070.0,0.0004
14100.0,0.0024000001
14120.0,0.0052999998
14160.0,0.0086000003
14210.0,0.0007
14260.0,0.0003
14420.0,0.0004
14500.0,0.0
