Wavelength,Transmission
8850.0,0.0001
8900.0,0.0009
8950.0,0.0044
9000.0,0.0178
9050.0,0.0594
9100.0,0.1639
9150.0,0.3771
9200.0,0.7298
9250.0,1.2022
9300.0,1.7158
9350.0,2.169
9400.0,2.4908
9450.0,2.6763
9500.0,2.7617
9550.0,2.7932
9600.0,2.8025
9650.0,2.8019
9700.0,2.8006
9750.0,2.797
9800.0,2.7948
9850.0,2.7912
9900.0,2.7872
9950.0,2.785
10000.0,2.7816
10050.0,2.7799
10100.0,2.7784
10150.0,2.777
10200.0,2.7757
10250.0,2.7745
10300.0,2.7735
10350.0,2.7711
10400.0,2.7706
10450.0,2.7701
10500.0,2.7699
10550.0,2.77
10600.0,2.7703
10650.0,2.7708
10700.0,2.7715
10750.0,2.7723
10800.0,2.7732
10850.0,2.7756
10900.0,2.7763
10950.0,2.7771
11000.0,2.7792
11050.0,2.7778
11100.0,2.7778
11150.0,2.7791
11200.0,2.7803
11250.0,2.78
11300.0,2.7815
11350.0,2.7822
11400.0,2.783
11450.0,2.7833
11500.0,2.7852
11550.0,2.786
11600.0,2.787
11650.0,2.7896
11700.0,2.791
11750.0,2.7939
11800.0,2.7969
11850.0,2.7984
11900.0,2.8016
11950.0,2.8049
12000.0,2.8064
12050.0,2.8083
12100.0,2.8119
12150.0,2.8156
12200.0,2.8176
12250.0,2.8208
12300.0,2.8242
12350.0,2.8265
12400.0,2.8285
12450.0,2.831
12500.0,2.8313
12550.0,2.8324
12600.0,2.8327
12650.0,2.8321
12700.0,2.8312
12750.0,2.8309
12800.0,2.8305
12850.0,2.8286
12900.0,2.8285
12950.0,2.8279
13000.0,2.8276
13050.0,2.8288
13100.0,2.8287
13150.0,2.8304
13200.0,2.8323
13250.0,2.8328
13300.0,2.8353
13350.0,2.8379
13400.0,2.839
13450.0,2.8417
13500.0,2.8448
13550.0,2.8467
13600.0,2.8503
13650.0,2.8526
13700.0,2.8563
13750.0,2.8602
13800.0,2.8623
13850.0,2.8665
13900.0,2.869
13950.0,2.8705
14000.0,2.8715
14050.0,2.8708
14100.0,2.8697
14150.0,2.8689
14200.0,2.8696
14250.0,2.872
14300.0,2.873
14350.0,2.8748
14400.0,2.8749
14450.0,2.8736
14500.0,2.8743
14550.0,2.8755
14600.0,2.8764
14650.0,2.877
14700.0,2.8776
14750.0,2.8792
14800.0,2.8792
14850.0,2.8808
14900.0,2.8812
14950.0,2.8831
15000.0,2.8837
15050.0,2.8841
15100.0,2.8863
15150.0,2.8878
15200.0,2.8894
15250.0,2.892
15300.0,2.8928
15350.0,2.8954
15400.0,2.898
15450.0,2.8999
15500.0,2.9019
15550.0,2.9034
15600.0,2.9049
15650.0,2.9058
15700.0,2.9081
15750.0,2.9092
15800.0,2.9104
15850.0,2.9125
15900.0,2.915
15950.0,2.9182
16000.0,2.9222
16050.0,2.9261
16100.0,2.9304
16150.0,2.9342
16200.0,2.9383
16250.0,2.9439
16300.0,2.9496
16350.0,2.9537
16400.0,2.9576
16450.0,2.9612
16500.0,2.9645
16550.0,2.9686
16600.0,2.9705
16650.0,2.9739
16700.0,2.977
16750.0,2.9784
16800.0,2.9797
16850.0,2.9823
16900.0,2.9835
16950.0,2.9844
17000.0,2.9872
17050.0,2.99
17100.0,2.9928
17150.0,2.995
17200.0,2.9984
17250.0,3.0002
17300.0,3.0018
17350.0,3.0038
17400.0,3.0055
17450.0,3.0057
17500.0,3.0073
17550.0,3.0056
17600.0,3.0051
17650.0,3.0025
17700.0,2.9996
17750.0,2.9965
17800.0,2.9934
17850.0,2.9921
17900.0,2.9893
17950.0,2.987
18000.0,2.9839
18050.0,2.982
18100.0,2.9825
18150.0,2.9811
18200.0,2.9829
18250.0,2.9843
18300.0,2.9859
18350.0,2.9877
18400.0,2.9895
18450.0,2.9913
18500.0,2.993
18550.0,2.9945
18600.0,2.996
18650.0,2.9992
18700.0,3.0005
18750.0,3.0034
18800.0,3.0045
18850.0,3.0054
18900.0,3.0046
18950.0,3.0049
19000.0,3.0048
19050.0,3.0041
19100.0,3.0045
19150.0,3.0028
19200.0,3.0006
19250.0,2.9992
19300.0,2.9951
19350.0,2.9904
19400.0,2.9825
19450.0,2.9717
19500.0,2.9509
19550.0,2.9186
19600.0,2.8682
19650.0,2.7953
19700.0,2.6977
19750.0,2.5681
19800.0,2.406
19850.0,2.2122
19900.0,1.9906
19950.0,1.7483
20000.0,1.4957
20050.0,1.2425
20100.0,1.0007
20150.0,0.78
20200.0,0.5875
20250.0,0.427
20300.0,0.2991
20350.0,0.2019
20400.0,0.131
20450.0,0.0817
20500.0,0.049
20550.0,0.0282
20600.0,0.0156
20650.0,0.0082
20700.0,0.0042
20750.0,0.002
20800.0,0.001
20850.0,0.0004
