Wavelength,Transmission
9950.0,0.0
10000.0,0.6332
10050.0,1.3031
10100.0,1.3395
10150.0,1.3756
10200.0,1.4115
10250.0,1.4472
10300.0,1.4825
10350.0,1.5167
10400.0,1.5515
10450.0,1.5859
10500.0,1.6199
10550.0,1.6536
10600.0,1.687
10650.0,1.72
10700.0,1.7525
10750.0,1.7846
10800.0,1.8161
10850.0,1.8481
10900.0,1.8783
10950.0,1.908
11000.0,1.9379
11050.0,1.9648
11100.0,1.9918
11150.0,2.0192
11200.0,2.0459
11250.0,2.0708
11300.0,2.0963
11350.0,2.1205
11400.0,2.144
11450.0,2.1665
11500.0,2.1895
11550.0,2.211
11600.0,2.2319
11650.0,2.2533
11700.0,2.2731
11750.0,2.2934
11800.0,2.3131
11850.0,2.3308
11900.0,2.3494
11950.0,2.3672
12000.0,2.383
12050.0,2.3983
12100.0,2.4145
12150.0,2.43
12200.0,2.4434
12250.0,2.4572
12300.0,2.4705
12350.0,2.4823
12400.0,2.4931
12450.0,2.5037
12500.0,2.5118
12550.0,2.5199
12600.0,2.5267
12650.0,2.532
12700.0,2.5366
12750.0,2.541
12800.0,2.5448
12850.0,2.5467
12900.0,2.5497
12950.0,2.5516
13000.0,2.5532
13050.0,2.5558
13100.0,2.5566
13150.0,2.5585
13200.0,2.5601
13250.0,2.5601
13300.0,2.5612
13350.0,2.5621
13400.0,2.5612
13450.0,2.5612
13500.0,2.5612
13550.0,2.5597
13600.0,2.5592
13650.0,2.5572
13700.0,2.5561
13750.0,2.5548
13800.0,2.5515
13850.0,2.5496
13900.0,2.546
13950.0,2.5411
14000.0,2.5354
14050.0,2.5279
14100.0,2.5198
14150.0,2.5116
14200.0,2.5044
14250.0,2.4985
14300.0,2.4911
14350.0,2.484
14400.0,2.4753
14450.0,2.4651
14500.0,2.4564
14550.0,2.4479
14600.0,2.4389
14650.0,2.4294
14700.0,2.4198
14750.0,2.4108
14800.0,2.4003
14850.0,2.3909
14900.0,2.3804
14950.0,2.3709
15000.0,2.3602
15050.0,2.3491
15100.0,2.3395
15150.0,2.329
15200.0,2.3186
15250.0,2.3087
15300.0,2.2974
15350.0,2.2873
15400.0,2.2771
15450.0,2.2662
15500.0,2.2553
15550.0,2.2439
15600.0,2.2325
15650.0,2.2204
15700.0,2.2094
15750.0,2.1974
15800.0,2.1854
15850.0,2.174
15900.0,2.1628
15950.0,2.1521
16000.0,2.1419
16050.0,2.1315
16100.0,2.1214
16150.0,2.1108
16200.0,2.1004
16250.0,2.091
16300.0,2.0816
16350.0,2.071
16400.0,2.0603
16450.0,2.0493
16500.0,2.038
16550.0,2.0272
16600.0,2.015
16650.0,2.0037
16700.0,1.9922
16750.0,1.9796
16800.0,1.9669
16850.0,1.9551
16900.0,1.9423
16950.0,1.9294
17000.0,1.9177
17050.0,1.906
17100.0,1.8943
17150.0,1.8822
17200.0,1.871
17250.0,1.8587
17300.0,1.8463
17350.0,1.8342
17400.0,1.8219
17450.0,1.8088
17500.0,1.7965
17550.0,1.7823
17600.0,1.7689
17650.0,1.7543
17700.0,1.7396
17750.0,1.7249
17800.0,1.7103
17850.0,1.6968
17900.0,1.6824
17950.0,1.6685
18000.0,1.6542
18050.0,1.6406
18100.0,1.6284
18150.0,1.6153
18200.0,1.6039
18250.0,1.5924
18300.0,1.581
18350.0,1.5698
18400.0,1.5587
18450.0,1.5476
18500.0,1.5365
18550.0,1.5253
18600.0,1.5143
18650.0,1.5041
18700.0,1.493
18750.0,1.4827
18800.0,1.4717
18850.0,1.4606
18900.0,1.4487
18950.0,1.4374
19000.0,1.4261
19050.0,1.4145
19100.0,1.4036
19150.0,1.3918
19200.0,1.38
19250.0,1.3505
19300.0,0.6785
19350.0,0.0181
19400.0,0.0
